Latitude (decimal degrees):	35.141
Longitude (decimal degrees):	33.415
Elevation (m):	142
Radiation database:	PVGIS-SARAH3


Slope: 28 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	10000.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230218:0209,0.0,0.0,0.0,0.0,0.0,4.73,1.38,0.0
20230218:0309,0.0,0.0,0.0,0.0,0.0,4.66,1.38,0.0
20230218:0409,0.0,0.0,0.0,0.0,0.0,4.72,1.45,0.0
20230218:0509,1002800.0,91.01,51.99,0.97,6.98,4.71,1.45,0.0
20230218:0609,3502100.0,304.39,116.07,3.32,18.14,7.54,0.97,0.0
20230218:0709,4754200.0,370.51,204.26,5.01,28.17,11.47,1.1,0.0
20230218:0809,3836100.0,154.96,309.05,4.85,36.35,12.86,1.45,0.0
20230218:0909,6511400.0,521.71,292.54,7.36,41.69,13.98,1.31,0.0
20230218:1009,5227400.0,288.97,360.05,6.43,43.17,14.98,1.03,0.0
20230218:1109,6881600.0,654.19,226.91,7.69,40.45,15.44,0.83,0.0
20230218:1209,6280400.0,631.78,166.49,6.77,34.14,15.75,0.62,0.0
20230218:1309,4755800.0,449.73,143.06,4.88,25.31,15.71,0.55,0.0
20230218:1409,2666700.0,239.67,99.98,2.61,14.88,15.29,0.55,0.0
20230218:1509,36100.0,0.0,13.18,0.16,3.48,14.11,0.41,0.0
20230218:1609,0.0,0.0,0.0,0.0,0.0,12.39,0.48,0.0
20230218:1709,0.0,0.0,0.0,0.0,0.0,11.72,0.34,0.0
20230218:1809,0.0,0.0,0.0,0.0,0.0,10.02,0.9,0.0
20230218:1909,0.0,0.0,0.0,0.0,0.0,8.79,1.31,0.0
20230218:2009,0.0,0.0,0.0,0.0,0.0,8.43,1.24,0.0
20230218:2109,0.0,0.0,0.0,0.0,0.0,7.75,1.24,0.0
20230218:2209,0.0,0.0,0.0,0.0,0.0,7.13,1.31,0.0
20230218:2309,0.0,0.0,0.0,0.0,0.0,6.61,1.38,0.0
20230219:0009,0.0,0.0,0.0,0.0,0.0,6.16,1.38,0.0
20230219:0109,0.0,0.0,0.0,0.0,0.0,5.66,1.45,0.0
20230219:0209,0.0,0.0,0.0,0.0,0.0,5.43,1.45,0.0
20230219:0309,0.0,0.0,0.0,0.0,0.0,5.2,1.45,0.0
20230219:0409,0.0,0.0,0.0,0.0,0.0,4.99,1.45,0.0
20230219:0509,1060100.0,97.0,53.44,1.03,7.21,5.18,1.31,0.0
20230219:0609,3465200.0,299.75,117.42,3.34,18.39,8.21,0.97,0.0
20230219:0709,3431800.0,172.45,242.48,4.1,28.45,12.31,1.1,0.0
20230219:0809,6556800.0,620.85,197.13,7.07,36.67,13.65,1.24,0.0
20230219:0909,7450700.0,758.24,190.74,8.23,42.04,14.78,1.38,0.0
20230219:1009,7393900.0,725.4,224.24,8.32,43.53,15.73,1.24,0.0
20230219:1109,7090000.0,706.53,202.71,7.9,40.78,16.46,1.17,0.0
20230219:1209,5288700.0,403.84,256.2,5.97,34.44,16.85,1.17,0.0
20230219:1309,2239400.0,72.21,208.46,3.03,25.57,16.67,1.03,0.0
20230219:1409,879400.0,18.09,103.3,1.38,15.1,16.08,1.1,0.0
20230219:1509,41200.0,0.0,14.12,0.18,3.68,14.86,0.41,0.0
20230219:1609,0.0,0.0,0.0,0.0,0.0,13.4,0.14,0.0
20230219:1709,0.0,0.0,0.0,0.0,0.0,12.46,0.34,0.0
20230219:1809,0.0,0.0,0.0,0.0,0.0,11.23,0.69,0.0
20230219:1909,0.0,0.0,0.0,0.0,0.0,10.07,0.9,0.0
20230219:2009,0.0,0.0,0.0,0.0,0.0,9.29,0.97,0.0
20230219:2109,0.0,0.0,0.0,0.0,0.0,8.38,1.03,0.0
20230219:2209,0.0,0.0,0.0,0.0,0.0,7.65,1.17,0.0
20230219:2309,0.0,0.0,0.0,0.0,0.0,6.95,1.17,0.0
20230220:0009,0.0,0.0,0.0,0.0,0.0,6.49,1.17,0.0
20230220:0109,0.0,0.0,0.0,0.0,0.0,6.15,1.31,0.0
20230220:0209,0.0,0.0,0.0,0.0,0.0,5.78,1.38,0.0
20230220:0309,0.0,0.0,0.0,0.0,0.0,5.72,1.45,0.0
20230220:0409,0.0,0.0,0.0,0.0,0.0,5.75,1.52,0.0
20230220:0509,1138500.0,106.77,54.08,1.1,7.44,5.98,1.59,0.0
20230220:0609,3550100.0,312.27,115.31,3.43,18.65,8.85,1.24,0.0
20230220:0709,5432400.0,511.07,151.7,5.58,28.74,12.64,1.31,0.0
20230220:0809,6858100.0,695.7,163.66,7.37,36.99,14.1,1.38,0.0
20230220:0909,7548500.0,790.5,176.79,8.39,42.39,15.26,1.31,0.0
20230220:1009,6194000.0,452.21,327.65,7.29,43.88,16.27,1.38,0.0
20230220:1109,6534300.0,559.81,265.81,7.41,41.12,16.88,1.59,0.0
20230220:1209,4895600.0,330.03,275.29,5.67,34.73,17.0,1.66,0.0
20230220:1309,4730400.0,436.03,148.18,4.89,25.82,16.54,1.52,0.0
20230220:1409,2688600.0,240.5,99.97,2.67,15.33,15.77,1.59,0.0
20230220:1509,41400.0,0.0,14.12,0.18,3.88,14.5,1.59,0.0
20230220:1609,0.0,0.0,0.0,0.0,0.0,13.03,1.45,0.0
20230220:1709,0.0,0.0,0.0,0.0,0.0,11.71,1.59,0.0
20230220:1809,0.0,0.0,0.0,0.0,0.0,10.71,1.72,0.0
20230220:1909,0.0,0.0,0.0,0.0,0.0,10.28,1.59,0.0
20230220:2009,0.0,0.0,0.0,0.0,0.0,9.58,1.66,0.0
20230220:2109,0.0,0.0,0.0,0.0,0.0,8.89,1.52,0.0
20230220:2209,0.0,0.0,0.0,0.0,0.0,8.28,1.59,0.0
20230220:2309,0.0,0.0,0.0,0.0,0.0,7.95,1.72,0.0
20230221:0009,0.0,0.0,0.0,0.0,0.0,7.79,1.79,0.0
20230221:0109,0.0,0.0,0.0,0.0,0.0,7.71,1.93,0.0
20230221:0209,0.0,0.0,0.0,0.0,0.0,7.73,2.0,0.0
20230221:0309,0.0,0.0,0.0,0.0,0.0,7.57,2.0,0.0
20230221:0409,0.0,0.0,0.0,0.0,0.0,7.35,1.93,0.0
20230221:0509,1126600.0,104.04,55.55,1.12,7.68,7.21,1.79,0.0
20230221:0609,3494800.0,304.54,117.65,3.43,18.91,9.7,1.31,0.0
20230221:0709,5387900.0,502.01,155.38,5.58,29.04,13.67,1.66,0.0
20230221:0809,6740100.0,675.46,171.93,7.33,37.32,15.08,1.38,0.0
20230221:0909,7401800.0,777.28,182.99,8.38,42.74,16.18,0.9,0.0
20230221:1009,7430300.0,793.98,188.67,8.6,44.24,17.24,0.48,0.0
20230221:1109,6654000.0,650.51,228.17,7.77,41.45,17.77,0.0,0.0
20230221:1209,5181800.0,402.27,256.95,6.02,35.02,17.89,0.28,0.0
20230221:1309,3568300.0,233.9,210.18,4.12,26.08,17.7,0.83,0.0
20230221:1409,1438100.0,65.85,123.01,1.88,15.55,16.96,1.38,0.0
20230221:1509,64700.0,2.69,16.08,0.21,4.08,15.79,1.38,0.0
20230221:1609,0.0,0.0,0.0,0.0,0.0,14.15,1.03,0.0
20230221:1709,0.0,0.0,0.0,0.0,0.0,13.11,0.83,0.0
20230221:1809,0.0,0.0,0.0,0.0,0.0,11.33,1.03,0.0
20230221:1909,0.0,0.0,0.0,0.0,0.0,10.34,1.52,0.0
20230221:2009,0.0,0.0,0.0,0.0,0.0,9.62,1.52,0.0
20230221:2109,0.0,0.0,0.0,0.0,0.0,8.98,1.52,0.0
20230221:2209,0.0,0.0,0.0,0.0,0.0,8.49,1.52,0.0
20230221:2309,0.0,0.0,0.0,0.0,0.0,8.12,1.52,0.0
20230222:0009,0.0,0.0,0.0,0.0,0.0,7.74,1.38,0.0
20230222:0109,0.0,0.0,0.0,0.0,0.0,7.46,1.38,0.0
20230222:0209,0.0,0.0,0.0,0.0,0.0,7.12,1.31,0.0
20230222:0309,0.0,0.0,0.0,0.0,0.0,6.88,1.31,0.0
20230222:0409,0.0,0.0,0.0,0.0,0.0,6.71,1.24,0.0
20230222:0509,1155400.0,105.34,57.54,1.17,7.92,6.91,1.1,0.0
20230222:0609,3518100.0,310.65,117.46,3.5,19.18,9.99,0.62,0.0
20230222:0709,5377600.0,512.95,152.93,5.68,29.33,14.03,0.76,0.0
20230222:0809,6674600.0,687.14,168.18,7.42,37.65,15.5,0.55,0.0
20230222:0909,7281600.0,780.52,182.53,8.44,43.1,16.48,0.21,0.0
20230222:1009,7458000.0,818.97,179.32,8.76,44.61,17.2,0.14,0.0
20230222:1109,7002800.0,733.52,188.76,8.09,41.79,17.77,0.34,0.0
20230222:1209,5471100.0,448.73,242.54,6.24,35.32,17.75,0.83,0.0
20230222:1309,4007100.0,300.06,197.25,4.46,26.33,17.49,1.1,0.0
20230222:1409,856000.0,14.29,104.52,1.38,15.77,16.71,1.1,0.0
20230222:1509,0.0,0.0,5.65,0.07,4.28,15.63,0.83,0.0
20230222:1609,0.0,0.0,0.0,0.0,0.0,14.22,0.48,0.0
20230222:1709,0.0,0.0,0.0,0.0,0.0,13.76,0.07,0.0
20230222:1809,0.0,0.0,0.0,0.0,0.0,12.6,0.69,0.0
20230222:1909,0.0,0.0,0.0,0.0,0.0,10.92,1.17,0.0
20230222:2009,0.0,0.0,0.0,0.0,0.0,10.06,1.24,0.0
20230222:2109,0.0,0.0,0.0,0.0,0.0,9.41,1.24,0.0
20230222:2209,0.0,0.0,0.0,0.0,0.0,8.72,1.38,0.0
20230222:2309,0.0,0.0,0.0,0.0,0.0,8.2,1.45,0.0
20230223:0009,0.0,0.0,0.0,0.0,0.0,7.9,1.45,0.0
20230223:0109,0.0,0.0,0.0,0.0,0.0,7.66,1.45,0.0
20230223:0209,0.0,0.0,0.0,0.0,0.0,7.58,1.45,0.0
20230223:0309,0.0,0.0,0.0,0.0,0.0,7.34,1.45,0.0
20230223:0409,0.0,0.0,0.0,0.0,0.0,7.28,1.38,0.0
20230223:0509,1170500.0,106.58,58.25,1.21,8.17,7.44,1.24,0.0
20230223:0609,3495500.0,304.58,119.91,3.51,19.45,10.22,0.9,0.0
20230223:0709,5354500.0,502.56,156.5,5.67,29.63,14.21,1.17,0.0
20230223:0809,6574800.0,642.42,187.18,7.28,37.99,15.52,1.17,0.0
20230223:0909,7340700.0,753.89,192.88,8.36,43.46,16.58,1.17,0.0
20230223:1009,7471000.0,778.82,195.28,8.62,44.97,17.32,1.03,0.0
20230223:1109,3754900.0,126.44,341.54,5.12,42.12,17.77,0.97,0.0
20230223:1209,2521100.0,48.36,268.14,3.66,35.61,17.8,0.9,0.0
20230223:1309,533900.0,0.0,79.99,0.99,26.58,17.07,0.9,0.0
20230223:1409,75200.0,0.0,19.76,0.25,15.99,16.25,0.83,0.0
20230223:1509,57900.0,0.0,16.94,0.21,4.47,15.4,0.48,0.0
20230223:1609,0.0,0.0,0.0,0.0,0.0,14.41,0.14,0.0
20230223:1709,0.0,0.0,0.0,0.0,0.0,13.39,0.41,0.0
20230223:1809,0.0,0.0,0.0,0.0,0.0,11.87,0.83,0.0
20230223:1909,0.0,0.0,0.0,0.0,0.0,11.31,1.17,0.0
20230223:2009,0.0,0.0,0.0,0.0,0.0,10.58,1.24,0.0
20230223:2109,0.0,0.0,0.0,0.0,0.0,10.04,1.31,0.0
20230223:2209,0.0,0.0,0.0,0.0,0.0,9.68,1.38,0.0
20230223:2309,0.0,0.0,0.0,0.0,0.0,9.22,1.45,0.0
20230224:0009,0.0,0.0,0.0,0.0,0.0,9.03,1.38,0.0
20230224:0109,0.0,0.0,0.0,0.0,0.0,8.86,1.38,0.0
20230224:0209,0.0,0.0,0.0,0.0,0.0,8.47,1.38,0.0
20230224:0309,0.0,0.0,0.0,0.0,0.0,8.29,1.38,0.0
20230224:0409,0.0,0.0,0.0,0.0,0.0,8.05,1.38,0.0
20230224:0509,1100100.0,94.75,60.89,1.19,8.42,8.48,1.17,0.0
20230224:0609,3375800.0,286.68,126.12,3.48,19.72,11.52,0.76,0.0
20230224:0709,5284200.0,496.51,159.08,5.68,29.94,14.47,0.69,0.0
20230224:0809,5582100.0,423.34,275.7,6.5,38.33,15.63,0.83,0.0
20230224:0909,7133700.0,697.8,220.6,8.21,43.83,16.37,1.03,0.0
20230224:1009,5013900.0,257.11,368.55,6.39,45.34,16.76,1.17,0.0
20230224:1109,5188300.0,307.18,340.42,6.4,42.46,17.04,1.31,0.0
20230224:1209,4634600.0,284.49,288.13,5.56,35.91,17.06,1.59,0.0
20230224:1309,2999900.0,147.94,221.96,3.72,26.83,16.88,1.79,0.0
20230224:1409,2352900.0,179.98,118.54,2.56,16.21,16.14,1.79,0.0
20230224:1509,112700.0,4.75,21.8,0.29,4.67,15.22,1.17,0.0
20230224:1609,0.0,0.0,0.0,0.0,0.0,14.04,1.1,0.0
20230224:1709,0.0,0.0,0.0,0.0,0.0,12.75,1.24,0.0
20230224:1809,0.0,0.0,0.0,0.0,0.0,11.39,1.17,0.0
20230224:1909,0.0,0.0,0.0,0.0,0.0,10.95,1.31,0.0
20230224:2009,0.0,0.0,0.0,0.0,0.0,10.22,1.38,0.0
20230224:2109,0.0,0.0,0.0,0.0,0.0,9.52,1.52,0.0
20230224:2209,0.0,0.0,0.0,0.0,0.0,9.04,1.52,0.0
20230224:2309,0.0,0.0,0.0,0.0,0.0,8.87,1.45,0.0
20230225:0009,0.0,0.0,0.0,0.0,0.0,8.63,1.38,0.0
20230225:0109,0.0,0.0,0.0,0.0,0.0,8.5,1.38,0.0
20230225:0209,0.0,0.0,0.0,0.0,0.0,8.42,1.31,0.0
20230225:0309,0.0,0.0,0.0,0.0,0.0,8.29,1.24,0.0
20230225:0409,0.0,0.0,0.0,0.0,0.0,8.21,1.17,0.0
20230225:0509,1207100.0,108.89,60.86,1.29,8.68,8.66,0.97,0.0
20230225:0609,3467200.0,301.65,123.1,3.58,20.0,11.51,0.55,0.0
20230225:0709,5291400.0,500.28,159.86,5.75,30.24,14.82,0.48,0.0
20230225:0809,5821300.0,483.67,258.0,6.8,38.67,16.08,0.28,0.0
20230225:0909,6865100.0,628.78,254.49,8.02,44.2,17.11,1.03,0.0
20230225:1009,6762400.0,574.93,290.59,7.98,45.71,17.64,1.38,0.0
20230225:1109,6885200.0,653.26,229.2,7.94,42.8,17.8,1.38,0.0
20230225:1209,2334900.0,34.18,259.39,3.46,36.2,18.04,1.52,0.0
20230225:1309,192000.0,0.0,36.7,0.46,27.09,17.76,1.59,0.0
20230225:1409,1039900.0,24.55,116.32,1.59,16.43,17.12,1.59,0.0
20230225:1509,250600.0,20.55,29.06,0.46,4.87,16.17,1.24,0.0
20230225:1609,0.0,0.0,0.0,0.0,0.0,14.65,0.83,0.0
20230225:1709,0.0,0.0,0.0,0.0,0.0,13.99,0.62,0.0
20230225:1809,0.0,0.0,0.0,0.0,0.0,13.31,0.69,0.0
20230225:1909,0.0,0.0,0.0,0.0,0.0,12.04,1.03,0.0
20230225:2009,0.0,0.0,0.0,0.0,0.0,10.94,1.24,0.0
20230225:2109,0.0,0.0,0.0,0.0,0.0,10.13,1.31,0.0
20230225:2209,0.0,0.0,0.0,0.0,0.0,9.46,1.38,0.0
20230225:2309,0.0,0.0,0.0,0.0,0.0,9.0,1.45,0.0
20230226:0009,0.0,0.0,0.0,0.0,0.0,8.79,1.52,0.0
20230226:0109,0.0,0.0,0.0,0.0,0.0,8.67,1.45,0.0
20230226:0209,0.0,0.0,0.0,0.0,0.0,8.53,1.38,0.0
20230226:0309,0.0,0.0,0.0,0.0,0.0,8.4,1.31,0.0
20230226:0409,0.0,0.0,0.0,0.0,0.0,8.21,1.24,0.0
20230226:0509,1078700.0,85.15,66.55,1.24,8.93,8.75,1.1,0.0
20230226:0609,3366700.0,276.79,135.69,3.56,20.28,11.94,0.69,0.0
20230226:0709,5409500.0,510.92,159.85,5.86,30.55,15.51,1.17,0.0
20230226:0809,6847700.0,693.4,172.1,7.66,39.01,17.08,1.79,0.0
20230226:0909,7628200.0,806.47,177.56,8.76,44.57,18.22,1.86,0.0
20230226:1009,7810400.0,844.57,174.35,9.07,46.08,18.97,1.72,0.0
20230226:1109,7531300.0,823.18,155.87,8.66,43.14,19.51,1.72,0.0
20230226:1209,5059700.0,352.17,279.63,6.0,36.49,19.69,2.14,0.0
20230226:1309,4326700.0,347.93,188.08,4.81,27.34,19.39,2.41,0.0
20230226:1409,2746100.0,244.27,105.1,2.9,16.65,18.57,2.69,0.0
20230226:1509,80800.0,0.0,20.7,0.26,5.06,17.32,2.07,0.0
20230226:1609,0.0,0.0,0.0,0.0,0.0,15.78,1.45,0.0
20230226:1709,0.0,0.0,0.0,0.0,0.0,14.26,0.9,0.0
20230226:1809,0.0,0.0,0.0,0.0,0.0,14.14,0.69,0.0
20230226:1909,0.0,0.0,0.0,0.0,0.0,12.94,1.1,0.0
20230226:2009,0.0,0.0,0.0,0.0,0.0,11.14,1.45,0.0
20230226:2109,0.0,0.0,0.0,0.0,0.0,10.42,1.52,0.0
20230226:2209,0.0,0.0,0.0,0.0,0.0,9.93,1.52,0.0
20230226:2309,0.0,0.0,0.0,0.0,0.0,9.6,1.59,0.0
20230227:0009,0.0,0.0,0.0,0.0,0.0,9.46,1.66,0.0
20230227:0109,0.0,0.0,0.0,0.0,0.0,9.16,1.79,0.0
20230227:0209,0.0,0.0,0.0,0.0,0.0,8.91,1.86,0.0
20230227:0309,0.0,0.0,0.0,0.0,0.0,8.94,1.72,0.0
20230227:0409,0.0,0.0,0.0,0.0,0.0,9.24,1.66,0.0
20230227:0509,110300.0,0.0,24.47,0.3,9.19,9.66,1.66,0.0
20230227:0609,1358100.0,26.11,148.4,2.01,20.56,12.8,1.31,0.0
20230227:0709,3781000.0,210.5,255.36,4.62,30.86,17.87,2.0,0.0
20230227:0809,6565400.0,611.87,212.61,7.42,39.36,19.34,2.83,0.0
20230227:0909,7493300.0,758.86,200.29,8.62,44.94,20.41,2.9,0.0
20230227:1009,7884200.0,847.48,173.9,9.13,46.45,21.19,2.83,0.0
20230227:1109,7536400.0,814.03,161.15,8.67,43.48,21.6,2.62,0.0
20230227:1209,6657500.0,708.72,141.18,7.47,36.79,21.73,2.55,0.0
20230227:1309,5088700.0,512.74,126.32,5.5,27.59,21.39,2.48,0.0
20230227:1409,2840000.0,262.61,102.44,3.03,16.86,20.54,2.34,0.0
20230227:1509,412000.0,46.71,30.82,0.62,5.25,19.15,1.72,0.0
20230227:1609,0.0,0.0,0.0,0.0,0.0,17.23,1.45,0.0
20230227:1709,0.0,0.0,0.0,0.0,0.0,15.66,1.03,0.0
20230227:1809,0.0,0.0,0.0,0.0,0.0,15.25,0.83,0.0
20230227:1909,0.0,0.0,0.0,0.0,0.0,13.73,1.1,0.0
20230227:2009,0.0,0.0,0.0,0.0,0.0,12.31,1.45,0.0
20230227:2109,0.0,0.0,0.0,0.0,0.0,11.73,1.45,0.0
20230227:2209,0.0,0.0,0.0,0.0,0.0,11.64,1.38,0.0
20230227:2309,0.0,0.0,0.0,0.0,0.0,12.15,1.31,0.0
20230228:0009,0.0,0.0,0.0,0.0,0.0,13.01,1.24,0.0
20230228:0109,0.0,0.0,0.0,0.0,0.0,13.7,1.17,0.0
20230228:0209,0.0,0.0,0.0,0.0,0.0,13.83,1.1,0.0
20230228:0309,0.0,0.0,0.0,0.0,0.0,13.89,1.1,0.0
20230228:0409,0.0,0.0,0.0,0.0,0.0,13.8,1.24,0.0
20230228:0509,982000.0,69.6,71.14,1.24,9.46,13.37,1.24,0.0
20230228:0609,3152600.0,239.98,150.34,3.5,20.85,14.9,1.03,0.0
20230228:0709,5080200.0,442.94,191.77,5.71,31.18,18.88,1.66,0.0
20230228:0809,6601200.0,650.24,195.14,7.6,39.71,20.77,2.0,0.0
20230228:0909,7419300.0,775.3,191.99,8.71,45.32,22.14,2.28,0.0
20230228:1009,7730000.0,835.82,178.97,9.12,46.83,22.96,2.48,0.0
20230228:1109,7477400.0,814.25,161.84,8.72,43.82,23.34,2.62,0.0
20230228:1209,6448300.0,672.68,156.31,7.35,37.08,23.39,2.48,0.0
20230228:1309,5016600.0,507.86,129.19,5.52,27.83,23.13,2.21,0.0
20230228:1409,2773300.0,256.79,103.76,3.03,17.08,22.42,1.93,0.0
20230228:1509,478100.0,59.49,30.08,0.69,5.45,20.94,1.45,0.0
20230228:1609,0.0,0.0,0.0,0.0,0.0,18.63,1.24,0.0
20230228:1709,0.0,0.0,0.0,0.0,0.0,18.1,0.69,0.0
20230228:1809,0.0,0.0,0.0,0.0,0.0,17.68,0.28,0.0
20230228:1909,0.0,0.0,0.0,0.0,0.0,17.54,0.48,0.0
20230228:2009,0.0,0.0,0.0,0.0,0.0,16.97,0.62,0.0
20230228:2109,0.0,0.0,0.0,0.0,0.0,16.28,0.76,0.0
20230228:2209,0.0,0.0,0.0,0.0,0.0,15.72,0.83,0.0
20230228:2309,0.0,0.0,0.0,0.0,0.0,15.42,0.97,0.0
20230301:0009,0.0,0.0,0.0,0.0,0.0,15.2,1.03,0.0
20230301:0109,0.0,0.0,0.0,0.0,0.0,15.18,0.97,0.0
20230301:0209,0.0,0.0,0.0,0.0,0.0,15.11,0.9,0.0
20230301:0309,0.0,0.0,0.0,0.0,0.0,14.84,0.9,0.0
20230301:0409,0.0,0.0,0.0,0.0,0.0,14.51,0.97,0.0
20230301:0509,1145400.0,91.42,71.35,1.38,9.72,13.83,1.1,0.0
20230301:0609,3271500.0,260.52,147.14,3.64,21.13,15.69,0.69,0.0
20230301:0709,5209100.0,475.47,182.89,5.91,31.5,19.58,1.17,0.0
20230301:0809,6604700.0,661.6,195.09,7.73,40.06,21.52,1.52,0.0
20230301:0909,7410200.0,786.31,193.08,8.85,45.7,22.89,1.79,0.0
20230301:1009,7670200.0,834.79,185.64,9.21,47.2,23.79,2.0,0.0
20230301:1109,7363500.0,801.25,172.99,8.76,44.16,24.28,2.07,0.0
20230301:1209,6416000.0,670.48,162.94,7.43,37.37,24.39,2.14,0.0
20230301:1309,4547400.0,405.45,172.43,5.17,28.08,24.06,2.28,0.0
20230301:1409,2723300.0,245.23,109.36,3.03,17.29,23.1,2.21,0.0
20230301:1509,479900.0,57.56,31.84,0.71,5.64,21.45,1.66,0.0
20230301:1609,0.0,0.0,0.0,0.0,0.0,19.18,1.24,0.0
20230301:1709,0.0,0.0,0.0,0.0,0.0,19.01,0.48,0.0
20230301:1809,0.0,0.0,0.0,0.0,0.0,18.35,0.34,0.0
20230301:1909,0.0,0.0,0.0,0.0,0.0,17.95,0.76,0.0
20230301:2009,0.0,0.0,0.0,0.0,0.0,15.69,1.17,0.0
20230301:2109,0.0,0.0,0.0,0.0,0.0,14.09,1.45,0.0
20230301:2209,0.0,0.0,0.0,0.0,0.0,13.3,1.38,0.0
20230301:2309,0.0,0.0,0.0,0.0,0.0,12.86,1.38,0.0
20230302:0009,0.0,0.0,0.0,0.0,0.0,12.29,1.31,0.0
20230302:0109,0.0,0.0,0.0,0.0,0.0,11.48,1.31,0.0
20230302:0209,0.0,0.0,0.0,0.0,0.0,10.77,1.31,0.0
20230302:0309,0.0,0.0,0.0,0.0,0.0,10.02,1.31,0.0
20230302:0409,0.0,0.0,0.0,0.0,0.0,9.55,1.38,0.0
20230302:0509,1244200.0,99.33,72.9,1.46,9.99,9.79,1.24,0.0
20230302:0609,3361500.0,269.41,147.29,3.73,21.42,14.52,0.62,0.0
20230302:0709,5143000.0,471.14,187.75,5.96,31.82,19.9,0.41,0.0
20230302:0809,6345500.0,629.13,213.94,7.68,40.41,21.95,0.34,0.0
20230302:0909,6812200.0,658.0,258.78,8.46,46.08,23.22,0.62,0.0
20230302:1009,6524800.0,553.22,315.88,8.22,47.58,24.08,1.03,0.0
20230302:1109,3959500.0,144.77,363.14,5.56,44.51,24.44,1.52,0.0
20230302:1209,4584300.0,279.56,304.61,5.82,37.66,24.1,2.07,0.0
20230302:1309,2408500.0,77.81,229.87,3.39,28.33,23.14,2.48,0.0
20230302:1409,881900.0,11.62,112.44,1.47,17.5,21.72,2.48,0.0
20230302:1509,166300.0,3.84,30.61,0.4,5.83,20.05,2.07,0.0
20230302:1609,0.0,0.0,0.0,0.0,0.0,18.18,1.45,0.0
20230302:1709,0.0,0.0,0.0,0.0,0.0,17.43,0.41,0.0
20230302:1809,0.0,0.0,0.0,0.0,0.0,15.93,1.03,0.0
20230302:1909,0.0,0.0,0.0,0.0,0.0,15.69,0.76,0.0
20230302:2009,0.0,0.0,0.0,0.0,0.0,14.69,1.17,0.0
20230302:2109,0.0,0.0,0.0,0.0,0.0,13.62,1.66,0.0
20230302:2209,0.0,0.0,0.0,0.0,0.0,12.73,2.07,0.0
20230302:2309,0.0,0.0,0.0,0.0,0.0,12.57,2.34,0.0
20230303:0009,0.0,0.0,0.0,0.0,0.0,12.6,2.48,0.0
20230303:0109,0.0,0.0,0.0,0.0,0.0,12.42,2.48,0.0
20230303:0209,0.0,0.0,0.0,0.0,0.0,12.08,2.28,0.0
20230303:0309,0.0,0.0,0.0,0.0,0.0,11.63,2.21,0.0
20230303:0409,0.0,0.0,0.0,0.0,0.0,11.42,2.41,0.0
20230303:0509,1104600.0,78.21,76.31,1.39,10.27,12.28,2.62,0.0
20230303:0609,3331200.0,258.57,151.28,3.72,21.72,16.32,2.76,0.0
20230303:0709,5203400.0,437.36,201.96,5.86,32.14,19.36,3.79,0.0
20230303:0809,6811600.0,652.33,201.57,7.78,40.77,21.33,4.21,0.0
20230303:0909,7579900.0,762.26,207.48,8.86,46.46,22.84,4.07,0.0
20230303:1009,7805900.0,814.46,195.66,9.21,47.96,23.84,3.86,0.0
20230303:1109,7496700.0,793.92,176.4,8.8,44.85,24.41,3.66,0.0
20230303:1209,6465500.0,654.2,170.66,7.44,37.95,24.63,3.72,0.0
20230303:1309,5105000.0,512.56,131.36,5.69,28.57,24.38,3.72,0.0
20230303:1409,2045100.0,127.94,139.68,2.58,17.71,23.48,3.45,0.0
20230303:1509,446600.0,39.14,41.36,0.69,6.02,21.84,3.38,0.0
20230303:1609,0.0,0.0,0.0,0.0,0.0,19.78,3.45,0.0
20230303:1709,0.0,0.0,0.0,0.0,0.0,18.2,3.24,0.0
20230303:1809,0.0,0.0,0.0,0.0,0.0,17.0,2.97,0.0
20230303:1909,0.0,0.0,0.0,0.0,0.0,16.26,2.83,0.0
20230303:2009,0.0,0.0,0.0,0.0,0.0,15.51,2.62,0.0
20230303:2109,0.0,0.0,0.0,0.0,0.0,14.77,2.48,0.0
20230303:2209,0.0,0.0,0.0,0.0,0.0,14.08,2.34,0.0
20230303:2309,0.0,0.0,0.0,0.0,0.0,13.53,2.28,0.0
20230304:0009,0.0,0.0,0.0,0.0,0.0,13.0,2.21,0.0
20230304:0109,0.0,0.0,0.0,0.0,0.0,12.44,2.14,0.0
20230304:0209,0.0,0.0,0.0,0.0,0.0,11.9,2.0,0.0
20230304:0309,0.0,0.0,0.0,0.0,0.0,11.48,1.86,0.0
20230304:0409,0.0,0.0,0.0,0.0,0.0,10.8,1.66,0.0
20230304:0509,1502100.0,136.18,69.96,1.71,10.54,10.32,1.31,0.0
20230304:0609,3822900.0,346.28,122.78,4.13,22.01,13.36,1.17,0.0
20230304:0709,5668400.0,545.33,157.79,6.33,32.46,15.77,1.45,0.0
20230304:0809,7010200.0,731.69,167.67,8.16,41.13,17.55,1.31,0.0
20230304:0909,7580200.0,816.13,184.08,9.13,46.84,18.93,1.03,0.0
20230304:1009,7672100.0,840.81,186.54,9.39,48.34,19.97,0.83,0.0
20230304:1109,7365600.0,796.82,177.15,8.87,45.19,20.52,1.1,0.0
20230304:1209,6270100.0,617.85,187.3,7.34,38.24,20.62,1.45,0.0
